senate_district,senator_name,party
1,Megan Dahle,R
2,Mike McGuire,D
3,Christopher Cabaldon,D
4,Marie Alvarado-Gil,R
5,Jerry McNerney,D
6,Roger Niello,R
7,Jesse Arreguín,D
8,Angelique Ashby,D
9,Tim Grayson,D
10,Aisha Wahab,D
11,Scott Wiener,D
12,Shannon Grove,R
13,Josh Becker,D
14,Anna Caballero,D
15,Dave Cortese,D
16,Melissa Hurtado,D
17,John Laird,D
18,Steve Padilla,D
19,Rosilicie Ochoa Bogh,R
20,Caroline Menjivar,D
21,Monique Limón,D
22,Susan Rubio,D
23,Suzette Martinez Valladares,R
24,Benjamin Allen,D
25,Sasha Renée Pérez,D
26,Maria Elena Durazo,D
27,Henry Stern,D
28,Lola Smallwood-Cuevas,D
29,Eloise Gómez Reyes,D
30,Bob Archuleta,D
31,Sabrina Cervantes,D
32,Kelly Seyarto,R
33,Lena Gonzalez,D
34,Thomas Umberg,D
35,Laura Richardson,D
36,Tony Strickland,R
37,Steven Choi,R
38,Catherine Blakespear,D
39,Akilah Weber Pierson,D
40,Brian Jones,R
