zip,zip_area_km2,fhsz_high_pct
89010,38.3,0.0
89019,538.51,0.0
89060,21.98,0.0
89061,1.03,0.0
89439,19.25,10.4
90001,9.06,0.0
90002,8.0,0.0
90003,9.2,0.0
90004,8.02,0.0
90005,2.63,0.0
90006,4.86,0.0
90007,6.28,0.0
90008,9.59,48.8
90010,1.23,0.0
90011,11.27,0.0
90012,8.66,33.6
90013,1.72,0.0
90014,0.65,0.0
90015,4.17,0.0
90016,9.08,1.1
90017,2.05,0.0
90018,7.49,0.0
90019,10.39,0.0
90020,2.9,0.0
90021,5.47,0.0
90022,11.39,0.0
90023,11.16,0.0
90024,7.65,0.0
90025,6.51,0.0
90026,11.18,41.9
90027,21.9,76.6
90028,3.85,0.7
90029,3.45,0.0
90031,9.01,41.6
90032,12.42,53.0
90033,8.52,0.0
90034,8.16,0.0
90035,5.37,0.0
90036,6.43,0.0
90037,7.3,0.0
90038,3.91,0.0
90039,10.41,40.5
90040,14.56,0.0
90041,9.31,56.8
90042,12.19,59.0
90043,10.66,2.2
90044,13.31,0.0
90045,27.84,0.9
90046,15.06,70.0
90047,12.44,0.0
90048,4.97,0.0
90049,39.18,82.0
90056,4.27,21.1
90057,2.32,0.0
90058,15.67,0.0
90059,8.57,0.0
90061,6.66,0.0
90062,5.05,0.0
90063,8.42,0.0
90064,10.27,0.0
90065,13.62,63.6
90066,12.8,0.0
90067,0.88,0.0
90068,20.27,93.6
90069,5.37,54.4
90071,0.27,0.0
90073,0.84,0.0
90077,19.39,99.5
90079,0.03,0.0
90089,0.74,0.0
90090,0.51,100.0
90094,1.62,8.8
90095,0.97,0.4
90201,15.91,0.0
90210,26.34,77.4
90211,1.7,0.0
90212,2.4,0.0
90220,18.21,0.0
90221,13.87,0.0
90222,6.76,0.0
90230,11.68,19.9
90232,5.82,1.4
90240,7.59,0.0
90241,13.22,0.0
90242,11.94,0.0
90245,15.17,0.0
90247,9.78,0.0
90248,12.3,0.0
90249,7.65,0.0
90250,17.67,0.0
90254,5.22,0.0
90255,9.6,0.0
90260,7.01,0.0
90262,12.76,0.0
90263,0.36,99.9
90265,297.97,76.6
90266,12.11,0.0
90270,3.3,0.0
90272,60.53,97.4
90274,33.26,92.2
90275,43.72,79.6
90277,12.86,0.0
90278,9.26,0.0
90280,19.03,0.0
90290,51.98,97.9
90291,7.36,0.0
90292,8.1,0.0
90293,11.37,9.3
90301,6.41,0.0
90302,4.8,0.0
90303,5.6,0.0
90304,4.06,0.0
90305,5.96,0.0
90401,2.66,0.0
90402,5.53,22.1
90403,3.82,0.0
90404,5.29,0.0
90405,7.27,0.0
90501,14.75,0.0
90502,5.83,0.0
90503,13.91,0.0
90504,11.44,0.0
90505,14.91,0.0
90506,0.37,0.0
90601,30.13,51.0
90602,9.5,46.5
90603,8.48,7.4
90604,11.11,0.0
90605,14.62,21.0
90606,10.15,0.0
90620,16.61,0.0
90621,10.68,0.0
90623,4.78,0.0
90630,16.06,0.0
90631,36.0,35.1
90638,20.46,1.5
90640,22.12,0.0
90650,25.79,0.0
90660,21.2,0.0
90670,21.76,0.0
90680,6.94,0.0
90701,4.26,0.0
90703,23.05,0.0
90704,761.26,25.4
90706,15.91,0.0
90710,6.14,0.0
90712,11.22,0.0
90713,8.79,0.0
90715,4.5,0.0
90716,2.4,0.0
90717,5.18,2.0
90720,16.1,0.0
90723,12.48,0.0
90731,40.73,0.0
90732,9.7,4.9
90740,24.71,0.0
90742,1.32,0.0
90743,1.29,0.0
90744,24.45,0.0
90745,21.68,0.0
90746,15.17,0.0
90747,0.01,0.0
90755,5.59,0.0
90802,38.72,0.0
90803,21.27,0.0
90804,5.46,0.0
90805,19.56,0.0
90806,9.25,0.0
90807,15.08,0.0
90808,18.1,0.0
90810,17.83,0.0
90813,8.48,0.0
90814,3.48,0.0
90815,18.88,0.0
90822,0.43,0.0
90831,0.05,0.0
91001,21.43,31.9
91006,16.85,19.0
91007,14.45,0.0
91008,5.13,87.1
91010,18.38,48.8
91011,30.61,76.2
91016,22.24,42.6
91020,2.02,100.0
91024,7.62,61.6
91030,8.74,0.3
91040,21.65,95.4
91042,129.35,14.8
91046,0.03,100.0
91101,3.39,0.0
91103,14.29,29.3
91104,9.85,0.0
91105,9.77,55.5
91106,7.67,0.0
91107,21.42,27.0
91108,9.88,0.0
91201,6.13,10.0
91202,5.23,26.1
91203,2.15,0.0
91204,2.89,0.0
91205,4.83,0.6
91206,15.45,77.3
91207,11.89,88.0
91208,18.02,100.0
91210,0.08,0.0
91214,19.55,99.9
91301,88.98,84.1
91302,68.99,93.0
91303,5.63,0.0
91304,24.42,46.6
91306,10.94,0.0
91307,20.65,55.5
91311,85.24,73.9
91316,13.72,29.4
91320,47.21,71.8
91321,66.78,62.6
91324,11.27,0.0
91325,12.42,0.0
91326,21.37,56.6
91330,0.88,0.0
91331,23.2,0.0
91335,17.16,0.0
91340,8.85,0.0
91342,142.82,33.3
91343,15.41,0.0
91344,43.62,36.1
91345,8.51,0.0
91350,44.12,67.1
91351,24.72,65.0
91352,30.65,38.0
91354,22.56,64.4
91355,40.6,41.4
91356,19.08,33.9
91360,37.83,49.2
91361,88.75,75.3
91362,50.83,77.2
91364,19.64,38.8
91367,19.46,0.2
91371,0.57,0.0
91377,13.68,78.5
91381,97.42,93.1
91384,290.56,57.9
91387,128.28,34.9
91390,373.4,41.2
91401,9.01,0.0
91402,9.69,0.0
91403,9.31,58.7
91405,8.56,0.0
91406,21.21,0.0
91411,5.29,0.0
91423,11.53,41.5
91436,14.76,59.7
91501,10.29,78.6
91502,3.55,0.0
91504,12.76,49.5
91505,12.9,4.1
91506,6.32,0.0
91601,7.17,0.0
91602,5.4,0.0
91604,13.43,62.6
91605,14.02,0.0
91606,8.72,0.0
91607,6.32,0.0
91608,1.52,94.9
91701,18.93,9.5
91702,442.84,2.7
91706,37.17,2.0
91708,24.58,0.0
91709,88.62,15.9
91710,56.07,0.0
91711,39.16,52.2
91722,10.88,0.0
91723,6.07,0.0
91724,16.38,40.3
91730,37.46,0.0
91731,10.01,0.0
91732,12.1,0.0
91733,18.02,0.0
91737,21.58,50.4
91739,76.18,28.8
91740,12.75,0.0
91741,38.83,43.9
91744,22.59,0.0
91745,33.09,44.9
91746,14.91,0.0
91748,37.88,54.6
91750,66.03,23.9
91752,39.75,0.0
91754,11.74,0.0
91755,7.92,0.0
91759,213.14,3.3
91761,75.57,0.0
91762,35.1,0.0
91763,13.52,0.0
91764,21.01,0.0
91765,48.91,45.8
91766,26.32,1.7
91767,14.55,0.0
91768,22.39,8.3
91770,16.74,0.0
91773,38.03,29.6
91775,7.99,0.0
91776,8.75,0.0
91780,10.14,0.0
91784,24.13,24.0
91786,23.21,10.0
91789,40.53,11.9
91790,14.86,0.0
91791,17.05,23.2
91792,9.92,5.6
91801,11.29,0.0
91803,8.57,0.0
91901,233.29,53.1
91902,23.45,6.8
91905,170.81,66.3
91906,275.34,43.1
91910,31.91,0.0
91911,30.7,2.6
91913,26.42,3.0
91914,16.59,41.7
91915,21.35,39.1
91916,103.12,50.8
91917,93.89,69.0
91931,37.56,17.3
91932,7.98,0.0
91934,121.04,32.3
91935,251.66,83.9
91941,21.2,1.7
91942,15.15,0.0
91945,9.8,0.5
91948,51.37,10.2
91950,20.96,0.0
91962,133.58,27.2
91963,87.11,68.4
91977,25.11,4.5
91978,17.61,37.4
91980,9.08,97.4
92003,45.78,96.6
92004,1797.51,7.7
92007,7.51,5.9
92008,30.75,3.7
92009,33.71,29.1
92010,21.31,44.6
92011,18.13,0.0
92014,16.77,52.5
92019,71.68,47.1
92020,29.12,13.2
92021,77.77,76.6
92024,45.43,30.5
92025,58.39,53.4
92026,96.04,79.6
92027,164.33,87.3
92028,245.34,86.9
92029,62.34,76.2
92036,462.8,63.3
92037,39.27,34.0
92040,172.81,62.0
92054,32.9,0.1
92055,255.06,0.1
92056,32.09,5.2
92057,39.95,0.3
92058,77.31,4.2
92059,72.38,51.2
92060,185.85,42.8
92061,102.93,62.5
92064,106.61,71.9
92065,428.97,70.4
92066,51.43,81.6
92067,58.7,98.9
92069,42.65,55.6
92070,353.41,57.6
92071,46.02,48.4
92075,10.44,22.9
92078,43.93,54.4
92081,23.02,19.4
92082,318.62,85.1
92083,14.31,0.0
92084,68.14,65.1
92086,571.91,44.2
92091,1.58,95.9
92101,12.56,14.6
92102,11.79,12.6
92103,9.71,52.2
92104,9.76,27.6
92105,14.78,13.2
92106,15.88,1.5
92107,9.33,3.1
92108,11.48,37.6
92109,30.84,2.8
92110,12.52,21.5
92111,22.0,33.3
92113,13.74,0.0
92114,21.48,1.3
92115,16.72,22.7
92116,9.2,59.2
92117,22.71,41.9
92118,24.46,0.0
92119,18.28,57.2
92120,17.82,56.1
92121,31.5,78.7
92122,41.52,27.4
92123,21.05,41.6
92124,27.3,75.8
92126,32.81,39.0
92127,58.44,86.7
92128,28.91,38.8
92129,36.46,95.5
92130,48.07,99.9
92131,65.44,41.5
92132,0.08,0.0
92134,0.41,3.5
92135,1.07,0.0
92139,9.39,3.7
92140,1.72,0.0
92145,8.57,98.8
92147,0.27,0.0
92154,97.66,61.9
92155,0.57,0.0
92173,13.64,49.4
92201,58.64,0.0
92203,45.32,0.0
92210,34.55,0.0
92211,39.34,0.0
92220,321.78,20.3
92222,4.06,0.0
92223,112.24,47.2
92225,1561.45,0.0
92227,1436.91,0.0
92230,39.52,26.4
92231,147.74,0.0
92233,580.34,0.0
92234,41.59,0.5
92236,56.68,0.0
92239,371.22,0.0
92240,95.57,1.8
92241,358.09,0.0
92242,84.08,0.0
92243,285.3,0.0
92249,55.79,0.0
92250,1074.99,0.0
92251,516.96,0.0
92252,232.26,1.6
92253,91.65,0.0
92254,126.98,0.0
92256,202.14,9.9
92257,2124.53,0.0
92258,27.33,0.0
92259,839.47,0.1
92260,73.92,3.3
92262,95.06,7.7
92264,135.92,10.0
92266,845.8,0.0
92267,45.01,0.0
92268,209.54,32.1
92270,69.97,0.0
92273,17.98,0.0
92274,547.87,1.5
92275,423.21,0.0
92276,75.89,0.0
92277,3613.5,0.0
92278,2.1,0.0
92280,430.23,0.0
92281,36.87,0.0
92282,189.76,8.5
92283,1943.85,0.0
92284,285.16,11.0
92285,443.33,0.0
92301,442.28,0.0
92304,106.55,0.0
92305,259.13,8.6
92307,440.08,0.0
92308,242.4,41.7
92309,414.93,0.0
92310,7.93,0.0
92311,643.45,0.0
92313,8.89,33.0
92314,79.61,39.4
92315,33.7,45.4
92316,28.42,1.3
92320,27.69,47.0
92321,17.1,62.7
92322,7.7,78.1
92324,78.59,56.4
92325,26.67,52.9
92327,73.9,0.0
92328,1828.97,0.0
92332,2317.35,0.0
92333,10.76,31.0
92335,44.61,0.0
92336,64.91,27.5
92337,36.11,6.7
92338,624.88,0.0
92339,27.55,28.4
92341,18.06,19.1
92342,274.72,0.0
92344,99.96,50.5
92345,212.95,18.2
92346,66.13,24.2
92347,380.4,0.0
92352,27.74,77.4
92354,12.62,22.1
92356,1020.45,8.4
92358,51.42,8.5
92359,44.71,57.3
92363,540.91,0.0
92364,1332.51,0.0
92365,449.47,0.0
92368,73.6,0.0
92371,361.63,16.9
92372,72.18,51.1
92373,106.22,72.4
92374,48.2,12.6
92376,35.39,0.0
92377,27.16,44.6
92378,2.22,9.9
92382,38.9,45.4
92384,362.55,0.0
92385,21.75,7.5
92386,4.98,47.9
92389,356.69,0.0
92391,6.18,79.0
92392,96.52,0.0
92394,71.04,0.0
92395,46.19,0.0
92397,26.71,46.6
92398,73.02,0.0
92399,137.31,52.9
92401,2.3,0.0
92404,74.05,21.1
92405,12.37,21.8
92407,164.44,45.0
92408,27.98,0.0
92410,21.26,0.0
92411,10.82,0.0
92501,15.38,0.0
92503,88.17,46.2
92504,60.63,24.1
92505,32.27,14.4
92506,42.18,13.9
92507,52.69,23.4
92508,27.52,5.3
92509,81.79,27.8
92518,30.87,0.0
92530,153.74,34.3
92532,46.98,82.4
92536,323.94,67.8
92539,340.33,62.0
92543,45.71,42.3
92544,351.91,63.9
92545,83.13,42.3
92548,25.51,89.7
92549,71.38,41.1
92551,15.55,0.0
92553,26.11,0.0
92555,217.16,57.0
92557,48.54,60.8
92561,410.83,15.9
92562,283.7,40.2
92563,52.7,41.0
92567,76.88,55.7
92570,252.16,70.7
92571,59.18,13.3
92582,48.67,11.6
92583,75.43,28.7
92584,77.55,37.1
92585,52.97,20.7
92586,18.22,21.1
92587,22.21,46.9
92590,138.32,91.2
92591,42.52,35.7
92592,255.65,58.4
92595,54.34,68.0
92596,158.21,60.7
92602,26.99,48.9
92603,34.3,66.4
92604,8.71,0.0
92606,12.68,0.0
92610,25.32,76.6
92612,15.89,9.7
92614,11.58,0.0
92617,6.22,0.0
92618,54.92,12.5
92620,18.26,16.3
92624,6.41,0.0
92625,7.38,33.2
92626,25.24,0.0
92627,16.37,0.0
92629,16.14,4.7
92630,24.88,1.8
92637,9.27,16.1
92646,23.04,0.0
92647,20.29,0.0
92648,25.71,0.0
92649,22.87,0.0
92651,57.77,88.8
92653,17.31,0.0
92655,1.42,0.0
92656,21.43,51.7
92657,20.83,86.0
92660,28.18,8.0
92661,4.93,0.0
92662,1.02,0.0
92663,12.02,0.0
92672,23.15,29.0
92673,30.19,17.9
92675,90.17,64.4
92676,174.08,54.2
92677,43.28,25.1
92678,38.82,15.6
92679,58.84,85.8
92683,26.37,0.0
92688,28.33,71.9
92691,22.85,0.0
92692,26.5,29.5
92694,24.58,70.6
92701,8.51,0.0
92703,10.78,0.0
92704,19.5,0.0
92705,29.7,5.4
92706,8.99,0.0
92707,13.05,0.0
92708,23.66,0.0
92780,18.16,0.0
92782,8.77,16.4
92801,16.16,0.0
92802,11.75,0.0
92804,18.13,0.0
92805,16.42,0.0
92806,20.99,0.0
92807,29.23,32.0
92808,13.14,71.4
92821,27.16,41.1
92823,28.07,96.8
92831,15.47,0.0
92832,7.21,0.0
92833,19.08,15.3
92835,15.82,11.0
92840,13.5,0.0
92841,11.57,0.0
92843,10.09,0.0
92844,5.2,0.0
92845,5.65,0.0
92860,36.77,10.7
92861,5.46,3.6
92865,9.78,0.0
92866,5.01,0.0
92867,20.9,31.4
92868,8.66,0.0
92869,24.85,21.6
92870,17.21,0.0
92879,26.24,3.5
92880,65.95,20.1
92881,72.24,44.1
92882,66.42,20.0
92883,144.51,49.7
92886,38.59,29.9
92887,24.71,69.0
93001,693.56,65.8
93003,53.35,47.8
93004,18.93,0.2
93010,57.31,8.7
93012,136.36,55.5
93013,148.72,33.7
93015,199.41,55.3
93021,123.34,71.7
93022,12.26,67.7
93023,700.83,20.2
93030,35.88,0.0
93033,76.11,10.0
93035,12.67,0.0
93036,43.35,0.0
93040,187.54,45.3
93041,33.57,0.1
93042,67.28,0.0
93043,1.26,0.0
93060,310.88,52.4
93063,85.39,79.2
93064,14.8,97.5
93065,84.56,72.1
93066,107.61,48.8
93067,1.41,0.1
93101,8.7,0.2
93103,14.09,65.5
93105,259.11,33.2
93108,54.78,66.8
93109,9.69,0.0
93110,27.48,35.2
93111,21.04,42.1
93117,445.69,69.5
93201,200.6,0.0
93202,2.25,0.0
93203,556.13,12.8
93204,154.48,36.8
93205,149.24,15.7
93206,387.7,0.0
93207,150.7,21.5
93208,151.74,5.4
93210,1999.29,58.6
93212,274.91,0.0
93215,369.16,0.0
93218,167.03,0.0
93219,252.38,0.0
93220,67.92,61.1
93221,340.88,35.2
93222,74.5,24.1
93223,6.36,0.0
93224,57.72,68.7
93225,459.04,23.7
93226,242.7,86.2
93230,680.03,0.0
93234,207.59,0.0
93235,7.44,0.0
93238,338.64,17.6
93239,166.12,24.2
93240,209.05,19.5
93241,10.55,0.0
93242,106.48,0.0
93243,397.11,65.8
93244,176.36,86.9
93245,305.52,0.0
93247,196.26,4.7
93249,579.21,20.9
93250,219.16,0.0
93251,346.25,65.4
93252,1776.9,9.9
93254,356.31,66.0
93255,560.85,8.6
93256,206.93,0.0
93257,1163.32,25.2
93258,1.05,0.0
93260,85.4,67.6
93261,22.04,0.0
93262,232.62,0.0
93263,234.49,0.0
93265,970.03,26.7
93266,144.5,0.0
93267,194.66,13.0
93268,108.08,23.5
93270,159.94,0.0
93271,991.9,27.8
93272,216.79,0.0
93274,555.91,0.0
93276,1.56,0.0
93277,103.82,0.0
93280,834.26,0.0
93283,530.66,22.8
93285,129.69,22.8
93286,222.52,39.7
93287,144.59,15.6
93291,219.54,0.0
93292,281.8,0.0
93301,11.18,0.0
93304,19.87,0.0
93305,15.23,0.0
93306,229.77,27.5
93307,360.41,0.0
93308,820.38,52.0
93309,28.26,0.0
93311,440.83,0.1
93312,39.35,0.0
93313,258.09,0.0
93314,257.6,0.0
93401,181.42,53.7
93402,85.58,67.8
93405,227.53,57.1
93410,0.12,0.0
93420,488.15,68.0
93422,157.03,52.0
93424,8.38,82.4
93426,583.8,86.5
93427,144.77,90.4
93428,204.58,74.1
93429,19.22,50.4
93430,198.99,43.6
93432,233.82,93.4
93433,5.75,0.0
93434,86.59,66.1
93436,568.82,77.2
93437,100.72,1.4
93440,103.82,93.4
93441,142.54,29.9
93442,120.27,49.0
93444,180.87,34.9
93445,47.11,46.7
93446,1098.86,85.5
93449,27.8,69.7
93450,448.02,84.0
93451,1325.19,93.8
93452,313.27,76.6
93453,1616.79,68.4
93454,1116.23,59.7
93455,281.31,38.2
93458,72.55,0.0
93460,322.01,74.2
93461,920.32,95.4
93463,78.5,68.4
93465,227.66,83.9
93501,423.95,16.0
93505,203.23,0.0
93510,186.55,71.8
93512,328.4,12.0
93513,1674.26,4.1
93514,2902.04,5.5
93516,49.82,0.0
93517,1552.89,10.8
93518,772.79,75.3
93519,205.51,0.0
93522,119.71,0.0
93523,254.06,0.0
93524,5.32,0.0
93526,355.28,11.6
93527,1412.98,3.6
93528,9.63,0.0
93529,86.05,12.1
93530,2.34,0.0
93531,88.92,98.9
93532,295.07,30.9
93534,47.05,0.0
93535,668.22,0.0
93536,631.06,21.4
93541,856.01,7.7
93543,154.16,31.4
93544,284.1,30.7
93545,277.81,8.4
93546,451.3,11.4
93549,878.48,4.6
93550,510.65,7.4
93551,189.68,62.9
93552,126.33,14.4
93553,224.13,26.5
93554,191.77,0.0
93555,212.53,0.0
93558,9.41,0.0
93560,414.59,5.8
93561,684.35,86.4
93562,103.15,0.0
93563,104.49,16.8
93591,213.95,0.0
93592,409.61,0.0
93601,115.64,78.0
93602,373.57,28.6
93603,113.02,59.7
93604,367.58,3.5
93605,1.08,9.6
93606,0.23,0.0
93608,283.06,7.6
93609,159.36,0.0
93610,707.49,9.4
93611,28.96,0.0
93612,17.18,0.0
93614,298.15,92.3
93615,43.28,0.0
93616,35.9,0.0
93618,172.65,0.0
93619,465.33,36.1
93620,452.85,0.0
93621,181.17,52.1
93622,923.09,4.3
93623,79.45,18.3
93624,290.88,0.0
93625,64.12,0.0
93626,273.71,58.9
93627,92.25,0.0
93628,93.24,1.8
93630,406.2,0.0
93631,208.7,0.0
93633,54.31,0.0
93634,3127.59,0.7
93635,694.46,6.4
93636,509.32,22.0
93637,701.03,0.0
93638,247.26,8.1
93640,296.57,0.7
93641,83.15,77.2
93643,323.74,36.4
93644,240.06,47.2
93645,138.41,94.6
93646,110.58,26.9
93647,276.38,73.6
93648,59.45,0.0
93650,1.8,0.0
93651,74.39,94.2
93652,5.14,0.0
93653,624.0,92.4
93654,257.13,21.6
93656,284.61,0.0
93657,563.92,36.3
93660,211.74,0.0
93662,204.53,0.0
93664,505.29,23.9
93665,2.16,0.0
93666,0.95,0.0
93667,290.99,56.6
93668,87.53,0.0
93669,19.19,23.3
93673,2.09,0.0
93675,203.91,98.8
93701,3.97,0.0
93702,13.32,0.0
93703,12.28,0.0
93704,14.52,0.0
93705,12.39,0.0
93706,423.84,0.0
93710,17.78,0.0
93711,29.82,0.0
93720,25.94,0.0
93721,5.22,0.0
93722,51.0,0.0
93723,110.6,0.0
93725,169.62,0.0
93726,16.76,0.0
93727,84.45,0.0
93728,7.85,0.0
93730,21.44,0.0
93901,37.89,0.0
93905,24.04,0.0
93906,33.81,0.0
93907,140.22,27.0
93908,563.04,51.6
93920,976.24,17.3
93921,2.56,16.7
93923,343.99,89.1
93924,493.14,61.6
93925,141.95,62.7
93926,153.74,30.8
93927,685.82,38.0
93928,49.51,0.1
93930,944.25,80.4
93932,261.63,76.3
93933,35.08,0.0
93940,55.02,54.5
93943,0.38,0.0
93950,8.98,3.5
93953,23.94,71.8
93954,95.04,92.0
93955,74.72,0.3
93960,541.73,56.9
93962,0.27,0.0
94002,14.89,25.2
94005,11.79,0.1
94010,30.9,26.1
94014,16.45,0.0
94015,14.98,0.0
94019,137.67,71.9
94020,144.9,99.9
94021,11.72,100.0
94022,45.57,23.3
94024,18.82,4.6
94025,30.56,0.0
94027,13.47,0.0
94028,39.75,12.7
94030,8.89,3.0
94037,15.12,63.4
94038,4.15,3.8
94040,9.18,0.0
94041,3.91,0.0
94043,27.64,0.0
94044,37.69,17.9
94060,189.61,87.5
94061,9.97,11.2
94062,185.93,83.6
94063,20.81,0.0
94065,7.98,0.0
94066,16.11,5.1
94070,15.64,31.4
94074,47.85,99.3
94080,27.18,0.0
94085,9.05,0.0
94086,11.63,0.0
94087,17.07,0.0
94089,15.54,0.0
94102,1.77,0.0
94103,3.44,0.0
94104,0.21,0.0
94105,1.2,0.0
94107,5.02,0.0
94108,0.66,0.0
94109,3.32,0.0
94110,6.03,0.0
94111,1.22,0.0
94112,8.67,0.0
94114,3.77,0.0
94115,2.82,0.0
94116,6.73,0.0
94117,4.47,0.0
94118,4.98,0.0
94121,8.01,0.0
94122,6.04,0.0
94123,2.89,0.0
94124,15.66,0.0
94127,4.63,0.0
94128,8.95,0.0
94129,6.02,0.0
94130,2.29,0.0
94131,5.51,0.0
94132,9.38,0.0
94133,2.68,0.0
94134,6.23,0.0
94158,2.94,0.0
94301,6.16,0.0
94303,22.34,0.0
94304,16.8,0.2
94305,13.36,0.0
94306,10.93,0.0
94401,10.84,0.0
94402,12.37,26.2
94403,15.06,0.0
94404,12.52,0.0
94501,29.49,0.0
94502,10.02,0.0
94503,40.5,0.7
94505,56.42,0.0
94506,48.9,62.8
94507,33.09,57.1
94508,45.68,96.7
94509,46.18,4.0
94510,80.9,0.2
94511,14.25,0.0
94512,52.21,0.0
94513,201.09,27.7
94514,74.55,53.8
94515,274.04,88.6
94516,2.28,100.0
94517,148.42,93.2
94518,14.18,0.0
94519,11.18,0.0
94520,26.03,1.1
94521,33.8,31.9
94523,18.45,1.3
94525,7.82,34.9
94526,38.88,15.3
94528,5.93,88.2
94530,12.56,59.9
94531,28.16,0.0
94533,56.24,10.9
94534,206.23,35.1
94535,9.88,0.0
94536,37.85,0.2
94538,43.08,0.0
94539,65.97,7.4
94541,19.26,0.0
94542,14.67,19.0
94544,28.33,6.6
94545,62.94,0.0
94546,25.47,48.5
94547,16.08,2.3
94548,7.24,0.0
94549,50.4,54.6
94550,607.29,87.6
94551,204.41,73.0
94552,116.3,76.5
94553,133.38,49.3
94555,33.59,0.0
94556,31.7,30.3
94558,999.85,67.7
94559,100.71,13.4
94560,35.84,0.0
