city,county,zip_count,zips,policies,prior_policies,change_pct,direction,yoy_change_pct,yoy_direction
Los Angeles,Los Angeles,60,"90011,90046,90044,90049,90077,90003,90001,90068,90037,90063,90002,90022,90023,90047,90042,90018,90065,90062,90026,90031,90059,90043,90019,90032,90033,90016,90006,90061,90027,90007,90039,90004,90041,90029,90008,90040,90036,90024,90048,90038,90035,90005,90034,90066,90012,90015,90025,90045,90064,90057,90020,90028,90058,90056,90017,90021,90067,90013,90014,90089",42444,42054,0.9,up,24.6,up
San Diego,San Diego,32,"92127,92131,92129,92130,92128,92126,92119,92124,92105,92154,92120,92115,92117,92113,92116,92114,92103,92102,92111,92122,92104,92121,92123,92110,92108,92109,92107,92139,92101,92106,92145,92140",14224,13087,8.7,up,92.5,up
Grass Valley,Nevada,2,"95949,95945",9189,9125,0.7,up,20.6,up
Placerville,El Dorado,1,95667,7398,7405,-0.1,flat,15.8,up
Corona,Riverside,5,"92883,92882,92880,92881,92879",6887,6091,13.1,up,65.0,up
Lake Arrowhead,San Bernardino,1,92352,6831,6696,2.0,up,6.4,up
Riverside,Riverside,8,"92503,92509,92507,92506,92508,92504,92505,92501",6813,6054,12.5,up,95.9,up
Truckee,Nevada,1,96161,6316,6079,3.9,up,14.0,up
Escondido,San Diego,4,"92026,92027,92029,92025",5867,5472,7.2,up,52.5,up
Big Bear Lake,San Bernardino,1,92315,5718,5571,2.6,up,7.7,up
Oakland,Alameda,14,"94611,94605,94619,94602,94601,94618,94606,94621,94603,94610,94609,94607,94612,94613",5695,5205,9.4,up,60.9,up
Big Bear City,San Bernardino,1,92314,5488,5300,3.5,up,8.8,up
Sonora,Tuolumne,1,95370,5103,5031,1.4,up,10.0,up
South Lake Tahoe,El Dorado,1,96150,5072,4955,2.4,up,13.0,up
Auburn,Placer,2,"95602,95603",5068,4991,1.5,up,23.0,up
Murrieta,Riverside,2,"92562,92563",4742,4151,14.2,up,73.3,up
Arnold,Calaveras,1,95223,4735,4674,1.3,up,8.0,up
Nevada City,Nevada,1,95959,4711,4646,1.4,up,16.5,up
San Bernardino,San Bernardino,7,"92407,92404,92410,92405,92411,92408,92401",4596,4226,8.8,up,49.3,up
Santa Barbara,Santa Barbara,7,"93108,93105,93103,93111,93110,93101,93109",4590,4357,5.3,up,40.0,up
Lake Elsinore,Riverside,2,"92530,92532",4336,3799,14.1,up,54.2,up
Crestline,San Bernardino,1,92325,4280,4257,0.5,up,5.3,up
Moreno Valley,Riverside,4,"92555,92557,92553,92551",4236,3700,14.5,up,85.9,up
Hemet,Riverside,3,"92544,92545,92543",4220,3810,10.8,up,85.2,up
Perris,Riverside,2,"92570,92571",4031,3640,10.7,up,53.6,up
El Cajon,San Diego,3,"92019,92021,92020",3816,3503,8.9,up,58.1,up
Fallbrook,San Diego,1,92028,3793,3519,7.8,up,37.5,up
Ramona,San Diego,1,92065,3768,3480,8.3,up,28.8,up
Oroville,Butte,2,"95966,95965",3671,3604,1.9,up,18.0,up
Glendale,Los Angeles,9,"91208,91206,91202,91207,91201,91205,91203,91204,91210",3536,3361,5.2,up,41.8,up
Temecula,Riverside,3,"92592,92591,92590",3455,3178,8.7,up,69.6,up
Trabuco Canyon,Orange,1,92679,3200,2851,12.2,up,30.4,up
Simi Valley,Ventura,2,"93065,93063",3166,2784,13.7,up,66.6,up
Yucaipa,San Bernardino,1,92399,3122,2732,14.3,up,46.8,up
Canyon Country,Los Angeles,2,"91387,91351",3109,2833,9.7,up,46.0,up
Santa Clarita,Los Angeles,2,"91390,91350",3032,2791,8.6,up,49.0,up
Los Gatos,Santa Clara,3,"95033,95030,95032",3003,2926,2.6,up,63.0,up
Alpine,San Diego,1,91901,3002,2873,4.5,up,18.2,up
Beaumont,Riverside,1,92223,2944,2443,20.5,up,92.5,up
Chino Hills,San Bernardino,1,91709,2924,2627,11.3,up,55.3,up
Valley Center,San Diego,1,92082,2852,2755,3.5,up,24.8,up
Running Springs,San Bernardino,1,92382,2801,2756,1.6,up,7.7,up
Idyllwild,Riverside,1,92549,2775,2756,0.7,up,8.2,up
Calabasas,Los Angeles,1,91302,2757,2642,4.4,up,37.5,up
Beverly Hills,Los Angeles,3,"90210,90211,90212",2755,2725,1.1,up,18.0,up
Redding,Shasta,3,"96003,96001,96002",2754,2518,9.4,up,39.1,up
Bakersfield,Kern,11,"93307,93306,93308,93304,93305,93309,93313,93312,93301,93311,93314",2716,2654,2.3,up,55.9,up
Pollock Pines,El Dorado,1,95726,2691,2701,-0.4,flat,9.9,up
Orinda,Contra Costa,1,94563,2674,2617,2.2,up,119.7,up
Palmdale,Los Angeles,4,"93551,93550,93552,93591",2632,2438,8.0,up,56.5,up
San Marcos,San Diego,2,"92078,92069",2593,2320,11.8,up,87.7,up
Shingle Springs,El Dorado,1,95682,2577,2525,2.1,up,20.2,up
Sylmar,Los Angeles,1,91342,2500,2267,10.3,up,34.9,up
Compton,Los Angeles,3,"90221,90220,90222",2497,2445,2.1,up,29.0,up
Malibu,Los Angeles,1,90265,2492,2528,-1.4,down,6.8,up
Hesperia,San Bernardino,2,"92345,92344",2456,2213,11.0,up,56.6,up
Santa Rosa,Sonoma,6,"95404,95409,95403,95405,95407,95401",2400,2413,-0.5,down,67.5,up
Thousand Oaks,Ventura,2,"91362,91360",2400,2283,5.1,up,84.1,up
Long Beach,Los Angeles,11,"90805,90813,90806,90810,90802,90804,90803,90807,90814,90808,90815",2367,2317,2.2,up,44.0,up
Fontana,San Bernardino,3,"92336,92335,92337",2320,2131,8.9,up,74.8,up
Castaic,Los Angeles,1,91384,2225,2128,4.6,up,33.7,up
Pioneer,Amador,1,95666,2216,2207,0.4,flat,8.1,up
Pasadena,Los Angeles,6,"91107,91103,91104,91105,91106,91101",2183,2144,1.8,up,46.2,up
Berkeley,Alameda,9,"94708,94705,94707,94704,94703,94709,94702,94710,94720",2178,1970,10.6,up,75.6,up
Twain Harte,Tuolumne,1,95383,2145,2123,1.0,up,6.5,up
Mariposa,Mariposa,1,95338,2139,2126,0.6,up,10.6,up
Groveland,Tuolumne,1,95321,2117,2130,-0.6,down,5.4,up
Tehachapi,Kern,1,93561,2108,2018,4.5,up,26.6,up
Magalia,Butte,1,95954,2105,2097,0.4,flat,8.1,up
Santa Cruz,Santa Cruz,4,"95060,95065,95062,95064",2056,2038,0.9,up,74.0,up
San Jose,Santa Clara,27,"95120,95127,95111,95148,95112,95135,95122,95123,95138,95116,95132,95136,95121,95124,95125,95126,95110,95129,95118,95128,95134,95131,95119,95133,95117,95139,95130",2053,1880,9.2,up,78.2,up
