zip,city,county,region,policies,prior_policies,change_pct,direction,yoy_change_pct,yoy_direction
95667,Placerville,El Dorado,Northern CA,7374,7398,-0.3,flat,15.8,up
92352,Lake Arrowhead,San Bernardino,SB Mountains,6862,6831,0.5,flat,6.4,up
96161,Truckee,Nevada,Northern CA,6443,6316,2.0,up,14.0,up
92315,Big Bear Lake,San Bernardino,SB Mountains,5761,5718,0.8,up,7.7,up
92314,Big Bear City,San Bernardino,Southern CA,5547,5488,1.1,up,8.8,up
95370,Sonora,Tuolumne,Northern CA,5150,5103,0.9,up,10.0,up
96150,South Lake Tahoe,El Dorado,Northern CA,5116,5072,0.9,up,13.0,up
95949,Grass Valley,Nevada,Northern CA,4923,4960,-0.7,down,18.5,up
95223,Arnold,Calaveras,Northern CA,4771,4735,0.8,up,8.0,up
95959,Nevada City,Nevada,Northern CA,4724,4711,0.3,flat,16.5,up
92325,Crestline,San Bernardino,SB Mountains,4296,4280,0.4,flat,5.3,up
95945,Grass Valley,Nevada,Northern CA,4190,4229,-0.9,down,23.3,up
92028,Fallbrook,San Diego,Southern CA,3882,3793,2.3,up,37.5,up
92065,Ramona,San Diego,Southern CA,3880,3768,3.0,up,28.8,up
92679,Trabuco Canyon,Orange,Southern CA,3398,3200,6.2,up,30.4,up
92399,Yucaipa,San Bernardino,SB Mountains,3329,3122,6.6,up,46.8,up
92570,Perris,Riverside,Southern CA,3156,3004,5.1,up,41.0,up
92562,Murrieta,Riverside,Southern CA,3155,2983,5.8,up,49.6,up
92223,Beaumont,Riverside,Southern CA,3139,2944,6.6,up,92.5,up
91709,Chino Hills,San Bernardino,Southern CA,3043,2924,4.1,up,55.3,up
91901,Alpine,San Diego,Southern CA,3024,3002,0.7,up,18.2,up
95966,Oroville,Butte,Northern CA,3006,3032,-0.9,down,17.0,up
92530,Lake Elsinore,Riverside,Southern CA,2927,2778,5.4,up,54.7,up
95602,Auburn,Placer,Northern CA,2886,2933,-1.6,down,15.2,up
92082,Valley Center,San Diego,Southern CA,2863,2852,0.4,flat,24.8,up
90011,Los Angeles,Los Angeles,Southern CA,2861,2865,-0.1,flat,18.3,up
94611,Oakland,Alameda,Northern CA,2822,2768,2.0,up,53.3,up
92382,Running Springs,San Bernardino,SB Mountains,2816,2801,0.5,up,7.7,up
92026,Escondido,San Diego,Southern CA,2806,2742,2.3,up,46.7,up
92549,Idyllwild,Riverside,Southern CA,2781,2775,0.2,flat,8.2,up
91302,Calabasas,Los Angeles,Southern CA,2776,2757,0.7,up,37.5,up
94563,Orinda,Contra Costa,Northern CA,2691,2674,0.6,up,119.7,up
95726,Pollock Pines,El Dorado,Northern CA,2688,2691,-0.1,flat,9.9,up
91342,Sylmar,Los Angeles,Southern CA,2619,2500,4.8,up,34.9,up
90210,Beverly Hills,Los Angeles,Southern CA,2599,2616,-0.6,down,16.5,up
95682,Shingle Springs,El Dorado,Northern CA,2565,2577,-0.5,flat,20.2,up
92883,Corona,Riverside,Southern CA,2551,2430,5.0,up,49.6,up
92592,Temecula,Riverside,Southern CA,2550,2513,1.5,up,76.2,up
90265,Malibu,Los Angeles,Southern CA,2493,2492,0.0,flat,6.8,up
90046,Los Angeles,Los Angeles,Southern CA,2310,2315,-0.2,flat,15.7,up
91387,Canyon Country,Los Angeles,Southern CA,2309,2213,4.3,up,43.0,up
91384,Castaic,Los Angeles,Southern CA,2306,2225,3.6,up,33.7,up
92882,Corona,Riverside,Southern CA,2246,2132,5.3,up,54.5,up
90044,Los Angeles,Los Angeles,Southern CA,2244,2236,0.4,flat,28.0,up
95666,Pioneer,Amador,Northern CA,2211,2216,-0.2,flat,8.1,up
95383,Twain Harte,Tuolumne,Northern CA,2175,2145,1.4,up,6.5,up
90049,Los Angeles,Los Angeles,Southern CA,2163,2127,1.7,up,32.8,up
93561,Tehachapi,Kern,Southern CA,2153,2108,2.1,up,26.6,up
95338,Mariposa,Mariposa,Northern CA,2130,2139,-0.4,flat,10.6,up
92595,Wildomar,Riverside,Southern CA,2127,2006,6.0,up,46.1,up
95603,Auburn,Placer,Northern CA,2105,2135,-1.4,down,35.5,up
95321,Groveland,Tuolumne,Northern CA,2103,2117,-0.7,down,5.4,up
95954,Magalia,Butte,Northern CA,2075,2105,-1.4,down,8.1,up
90077,Los Angeles,Los Angeles,Southern CA,2063,2061,0.1,flat,15.5,up
90003,Los Angeles,Los Angeles,Southern CA,2001,1993,0.4,flat,22.8,up
95713,Colfax,Placer,Northern CA,2001,2006,-0.2,flat,15.6,up
95033,Los Gatos,Santa Cruz,Northern CA,1992,2023,-1.5,down,69.2,up
95969,Paradise,Butte,Northern CA,1987,2028,-2.0,down,14.7,up
92386,Sugarloaf,San Bernardino,Southern CA,1960,1950,0.5,up,8.2,up
92407,San Bernardino,San Bernardino,SB Mountains,1952,1867,4.6,up,49.2,up
90290,Topanga,Los Angeles,Southern CA,1950,1972,-1.1,down,2.7,up
90001,Los Angeles,Los Angeles,Southern CA,1942,1967,-1.3,down,18.1,up
92544,Hemet,Riverside,Southern CA,1919,1853,3.6,up,60.4,up
93065,Simi Valley,Ventura,Southern CA,1916,1839,4.2,up,70.7,up
92563,Murrieta,Riverside,Southern CA,1887,1759,7.3,up,143.4,up
91765,Diamond Bar,Los Angeles,Southern CA,1876,1808,3.8,up,68.2,up
94549,Lafayette,Contra Costa,Northern CA,1863,1869,-0.3,flat,91.3,up
92019,El Cajon,San Diego,Southern CA,1851,1816,1.9,up,59.1,up
91390,Santa Clarita,Los Angeles,Southern CA,1830,1760,4.0,up,30.8,up
92503,Riverside,Riverside,Southern CA,1828,1767,3.5,up,81.1,up
92040,Lakeside,San Diego,Southern CA,1803,1732,4.1,up,68.7,up
92021,El Cajon,San Diego,Southern CA,1790,1735,3.2,up,50.4,up
95946,Penn Valley,Nevada,Northern CA,1789,1748,2.3,up,24.6,up
92555,Moreno Valley,Riverside,Southern CA,1763,1626,8.4,up,94.8,up
92397,Wrightwood,San Bernardino,SB Mountains,1756,1726,1.7,up,7.0,up
92127,San Diego,San Diego,Southern CA,1753,1682,4.2,up,126.8,up
91301,Agoura Hills,Los Angeles,Southern CA,1739,1702,2.2,up,41.3,up
95631,Foresthill,Placer,Northern CA,1732,1742,-0.6,down,10.1,up
93614,Coarsegold,Madera,Northern CA,1729,1735,-0.3,flat,20.5,up
90068,Los Angeles,Los Angeles,Southern CA,1727,1698,1.7,up,22.1,up
93023,Ojai,Ventura,Southern CA,1698,1684,0.8,up,24.0,up
92078,San Marcos,San Diego,Southern CA,1697,1674,1.4,up,88.1,up
95762,El Dorado Hills,El Dorado,Northern CA,1697,1668,1.7,up,77.7,up
91362,Thousand Oaks,Ventura,Southern CA,1695,1665,1.8,up,88.6,up
92532,Lake Elsinore,Riverside,Southern CA,1689,1558,8.4,up,53.2,up
96145,Tahoe City,Placer,Northern CA,1686,1654,1.9,up,20.6,up
92220,Banning,Riverside,Southern CA,1661,1552,7.0,up,78.0,up
92584,Menifee,Riverside,Southern CA,1639,1522,7.7,up,109.3,up
91935,Jamul,San Diego,Southern CA,1635,1626,0.6,up,19.1,up
93546,Mammoth Lakes,Mono,Northern CA,1632,1583,3.1,up,53.8,up
93644,Oakhurst,Madera,Northern CA,1628,1650,-1.3,down,17.7,up
96003,Redding,Shasta,Northern CA,1628,1591,2.3,up,31.5,up
90037,Los Angeles,Los Angeles,Southern CA,1622,1611,0.7,up,17.2,up
92131,San Diego,San Diego,Southern CA,1622,1574,3.0,up,67.5,up
92064,Poway,San Diego,Southern CA,1621,1569,3.3,up,71.7,up
92557,Moreno Valley,Riverside,Southern CA,1619,1506,7.5,up,86.7,up
92651,Laguna Beach,Orange,Southern CA,1606,1568,2.4,up,48.0,up
91361,Westlake Village,Ventura,Southern CA,1600,1585,0.9,up,45.8,up
90201,Bell Gardens,Los Angeles,Southern CA,1590,1548,2.7,up,44.5,up
92545,Hemet,Riverside,Southern CA,1582,1516,4.4,up,113.3,up
93108,Santa Barbara,Santa Barbara,Southern CA,1579,1601,-1.4,down,35.2,up
92129,San Diego,San Diego,Southern CA,1577,1514,4.2,up,80.7,up
95006,Boulder Creek,Santa Cruz,Northern CA,1567,1542,1.6,up,29.4,up
90280,South Gate,Los Angeles,Southern CA,1561,1562,-0.1,flat,37.2,up
93664,Shaver Lake,Fresno,Northern CA,1544,1534,0.7,up,11.5,up
90063,Los Angeles,Los Angeles,Southern CA,1530,1543,-0.8,down,17.3,up
95451,Kelseyville,Lake,Northern CA,1501,1448,3.7,up,11.0,up
91042,Tujunga,Los Angeles,Southern CA,1478,1442,2.5,up,30.9,up
95066,Scotts Valley,Santa Cruz,Northern CA,1478,1484,-0.4,flat,55.2,up
92130,San Diego,San Diego,Southern CA,1465,1387,5.6,up,135.0,up
92688,Rancho Santa Margarita,Orange,Southern CA,1459,1351,8.0,up,78.0,up
91364,Woodland Hills,Los Angeles,Southern CA,1455,1438,1.2,up,46.7,up
92027,Escondido,San Diego,Southern CA,1435,1375,4.4,up,57.2,up
92371,Phelan,San Bernardino,Southern CA,1418,1351,5.0,up,39.3,up
95060,Santa Cruz,Santa Cruz,Northern CA,1411,1423,-0.8,down,71.1,up
90255,Huntington Park,Los Angeles,Southern CA,1406,1410,-0.3,flat,36.4,up
95018,Felton,Santa Cruz,Northern CA,1405,1421,-1.1,down,50.1,up
93105,Santa Barbara,Santa Barbara,Southern CA,1390,1401,-0.8,down,24.5,up
93063,Simi Valley,Ventura,Southern CA,1389,1327,4.7,up,61.4,up
90022,Los Angeles,Los Angeles,Southern CA,1385,1361,1.8,up,26.9,up
90272,Pacific Palisades,Los Angeles,Southern CA,1376,1391,-1.1,down,8.9,up
91350,Santa Clarita,Los Angeles,Southern CA,1369,1272,7.6,up,89.1,up
91326,Porter Ranch,Los Angeles,Southern CA,1368,1301,5.1,up,82.4,up
90002,Los Angeles,Los Angeles,Southern CA,1361,1376,-1.1,down,23.6,up
92345,Hesperia,San Bernardino,Southern CA,1360,1322,2.9,up,76.7,up
92596,Winchester,Riverside,Southern CA,1326,1262,5.1,up,196.4,up
92694,Ladera Ranch,Orange,Southern CA,1326,1225,8.2,up,96.0,up
95722,Meadow Vista,Placer,Northern CA,1322,1334,-0.9,down,9.2,up
95247,Murphys,Calaveras,Northern CA,1314,1308,0.5,flat,10.0,up
92071,Santee,San Diego,Southern CA,1296,1237,4.8,up,84.8,up
91331,Pacoima,Los Angeles,Southern CA,1277,1271,0.5,flat,24.3,up
91321,Newhall,Los Angeles,Southern CA,1276,1208,5.6,up,37.5,up
92373,Redlands,San Bernardino,SB Mountains,1276,1237,3.2,up,42.5,up
92509,Riverside,Riverside,Southern CA,1272,1246,2.1,up,87.6,up
93923,Carmel,Monterey,Northern CA,1270,1323,-4.0,down,23.9,up
95482,Ukiah,Mendocino,Northern CA,1262,1225,3.0,up,38.8,up
91320,Newbury Park,Ventura,Southern CA,1256,1217,3.2,up,67.2,up
93551,Palmdale,Los Angeles,Southern CA,1250,1213,3.1,up,50.0,up
92346,Highland,San Bernardino,SB Mountains,1246,1203,3.6,up,69.8,up
92587,Quail Valley,Riverside,Southern CA,1239,1180,5.0,up,81.2,up
91356,Tarzana,Los Angeles,Southern CA,1235,1227,0.7,up,52.5,up
95003,Aptos,Santa Cruz,Northern CA,1227,1248,-1.7,down,95.1,up
91011,La Canada Flintridge,Los Angeles,Southern CA,1206,1178,2.4,up,36.8,up
90023,Los Angeles,Los Angeles,Southern CA,1198,1220,-1.8,down,17.1,up
91311,Chatsworth,Los Angeles,Southern CA,1196,1138,5.1,up,56.7,up
91214,La Crescenta,Los Angeles,Southern CA,1185,1136,4.3,up,51.2,up
92084,Vista,San Diego,Southern CA,1181,1177,0.3,flat,48.8,up
92344,Hesperia,San Bernardino,Southern CA,1176,1134,3.7,up,37.7,up
92880,Corona,Riverside,Southern CA,1166,1113,4.8,up,119.8,up
92336,Fontana,San Bernardino,Southern CA,1152,1115,3.3,up,87.6,up
95665,Pine Grove,Amador,Northern CA,1135,1138,-0.3,flat,8.1,up
90047,Los Angeles,Los Angeles,Southern CA,1129,1136,-0.6,down,29.0,up
92029,Escondido,San Diego,Southern CA,1118,1095,2.1,up,50.1,up
94506,Danville,Contra Costa,Northern CA,1112,1117,-0.4,flat,87.7,up
90042,Los Angeles,Los Angeles,Southern CA,1104,1113,-0.8,down,32.4,up
92324,Colton,San Bernardino,Southern CA,1104,1069,3.3,up,47.9,up
92036,Julian,San Diego,Southern CA,1096,1078,1.7,up,10.5,up
92320,Calimesa,Riverside,Southern CA,1093,1045,4.6,up,58.3,up
90018,Los Angeles,Los Angeles,Southern CA,1089,1094,-0.5,flat,23.0,up
96137,Westwood,Plumas,Northern CA,1088,1074,1.3,up,13.9,up
92009,Carlsbad,San Diego,Southern CA,1079,1053,2.5,up,116.1,up
90262,Lynwood,Los Angeles,Southern CA,1078,1060,1.7,up,31.6,up
92571,Perris,Riverside,Southern CA,1078,1027,5.0,up,110.5,up
92677,Laguna Niguel,Orange,Southern CA,1077,1049,2.7,up,101.1,up
91040,Sunland,Los Angeles,Southern CA,1075,1040,3.4,up,37.9,up
92404,San Bernardino,San Bernardino,SB Mountains,1075,1044,3.0,up,55.2,up
91745,Hacienda Heights,Los Angeles,Southern CA,1074,1042,3.1,up,58.3,up
95709,Camino,El Dorado,Northern CA,1074,1061,1.2,up,13.9,up
95446,Guerneville,Sonoma,Northern CA,1067,1060,0.7,up,14.5,up
95404,Santa Rosa,Sonoma,Northern CA,1062,1084,-2.0,down,53.6,up
91208,Glendale,Los Angeles,Southern CA,1055,1036,1.8,up,31.7,up
90065,Los Angeles,Los Angeles,Southern CA,1053,1067,-1.3,down,30.0,up
95490,Willits,Mendocino,Northern CA,1048,1024,2.3,up,15.0,up
92392,Victorville,San Bernardino,Southern CA,1046,993,5.3,up,95.7,up
91381,Stevenson Ranch,Los Angeles,Southern CA,1036,973,6.5,up,55.4,up
91304,Canoga Park,Los Angeles,Southern CA,1026,985,4.2,up,49.2,up
91001,Altadena,Los Angeles,Southern CA,1025,992,3.3,up,4.5,up
90221,Compton,Los Angeles,Southern CA,1013,1004,0.9,up,28.9,up
91436,Encino,Los Angeles,Southern CA,1008,996,1.2,up,51.5,up
92507,Riverside,Riverside,Southern CA,1004,948,5.9,up,105.9,up
92391,Twin Peaks,San Bernardino,SB Mountains,1000,997,0.3,flat,5.7,up
93222,Pine Mountain Club,Kern,Southern CA,998,985,1.3,up,16.2,up
95076,Watsonville,Santa Cruz,Northern CA,998,1002,-0.4,flat,70.9,up
90062,Los Angeles,Los Angeles,Southern CA,994,988,0.6,up,20.9,up
91604,Studio City,Los Angeles,Southern CA,994,1022,-2.7,down,30.4,up
94558,Napa,Napa,Northern CA,993,991,0.2,flat,33.6,up
92128,San Diego,San Diego,Southern CA,988,959,3.0,up,134.8,up
91354,Valencia,Los Angeles,Southern CA,983,919,7.0,up,113.9,up
91352,Sun Valley,Los Angeles,Southern CA,981,940,4.4,up,29.2,up
91789,Walnut,Los Angeles,Southern CA,968,924,4.8,up,102.0,up
91748,Rowland Heights,Los Angeles,Southern CA,967,933,3.6,up,92.6,up
94941,Mill Valley,Marin,Northern CA,967,935,3.4,up,48.7,up
95005,Ben Lomond,Santa Cruz,Northern CA,957,991,-3.4,down,45.2,up
91206,Glendale,Los Angeles,Southern CA,955,961,-0.6,down,30.2,up
92673,San Clemente,Orange,Southern CA,951,912,4.3,up,75.8,up
93510,Acton,Los Angeles,Southern CA,950,943,0.7,up,20.0,up
91766,Pomona,Los Angeles,Southern CA,945,930,1.6,up,69.0,up
92069,San Marcos,San Diego,Southern CA,937,919,2.0,up,87.0,up
91351,Canyon Country,Los Angeles,Southern CA,934,896,4.2,up,54.6,up
93021,Moorpark,Ventura,Southern CA,931,878,6.0,up,56.9,up
90026,Los Angeles,Los Angeles,Southern CA,926,919,0.8,up,27.0,up
95335,Long Barn,Tuolumne,Northern CA,917,911,0.7,up,3.5,up
95422,Clearlake,Lake,Northern CA,915,897,2.0,up,24.5,up
96146,Olympic Valley,Placer,Northern CA,911,897,1.6,up,18.9,up
96088,Shingletown,Shasta,Northern CA,909,905,0.4,flat,7.7,up
92057,Oceanside,San Diego,Southern CA,908,900,0.9,up,107.7,up
91744,La Puente,Los Angeles,Southern CA,906,906,0.0,flat,33.1,up
90031,Los Angeles,Los Angeles,Southern CA,902,900,0.2,flat,24.3,up
93225,Frazier Park,Kern,Southern CA,902,895,0.8,up,26.2,up
92887,Yorba Linda,Orange,Southern CA,901,859,4.9,up,44.7,up
95228,Copperopolis,Calaveras,Northern CA,897,902,-0.6,down,18.7,up
96001,Redding,Shasta,Northern CA,893,871,2.5,up,53.9,up
92543,Hemet,Riverside,Southern CA,886,851,4.1,up,113.1,up
96067,Mount Shasta,Siskiyou,Northern CA,875,854,2.5,up,43.1,up
93550,Palmdale,Los Angeles,Southern CA,874,851,2.7,up,54.0,up
95633,Garden Valley,El Dorado,Northern CA,872,875,-0.3,flat,18.4,up
93924,Carmel Valley,Monterey,Northern CA,869,873,-0.5,flat,19.8,up
91377,Oak Park,Ventura,Southern CA,868,810,7.2,up,70.7,up
91423,Sherman Oaks,Los Angeles,Southern CA,858,865,-0.8,down,32.8,up
93535,Lancaster,Los Angeles,Southern CA,858,843,1.8,up,96.9,up
92284,Yucca Valley,San Bernardino,Southern CA,850,793,7.2,up,75.2,up
96007,Anderson,Shasta,Northern CA,845,814,3.8,up,21.7,up
91750,La Verne,Los Angeles,Southern CA,844,813,3.8,up,55.2,up
91403,Sherman Oaks,Los Angeles,Southern CA,840,839,0.1,flat,36.6,up
94507,Alamo,Contra Costa,Northern CA,838,845,-0.8,down,99.3,up
96142,Tahoma,El Dorado,Northern CA,837,833,0.5,flat,17.1,up
95327,Jamestown,Tuolumne,Northern CA,832,817,1.8,up,17.1,up
96140,Carnelian Bay,Placer,Northern CA,829,813,2.0,up,18.3,up
90043,Los Angeles,Los Angeles,Southern CA,827,817,1.2,up,31.7,up
90059,Los Angeles,Los Angeles,Southern CA,825,835,-1.2,down,25.0,up
92506,Riverside,Riverside,Southern CA,825,815,1.2,up,88.6,up
90019,Los Angeles,Los Angeles,Southern CA,824,816,1.0,up,30.4,up
90220,Compton,Los Angeles,Southern CA,824,831,-0.8,down,33.4,up
