zip,city,county,fy_2020,fy_2021,fy_2022,fy_2023,fy_2024
95667,Placerville,El Dorado,3586,4073,4398,4890,6395
92352,Lake Arrowhead,San Bernardino,4227,5284,5999,6304,6293
96161,Truckee,Nevada,1809,2489,3401,4509,5332
92315,Big Bear Lake,San Bernardino,2760,3681,4524,4987,5175
92314,Big Bear City,San Bernardino,2718,3274,4226,4668,4872
95370,Sonora,Tuolumne,2766,3113,3310,4053,4574
96150,South Lake Tahoe,El Dorado,1633,2344,2750,3633,4385
95223,Arnold,Calaveras,2893,3440,3769,4233,4326
95949,Grass Valley,Nevada,2619,3046,3218,3833,4216
92325,Crestline,San Bernardino,3035,3650,3978,4115,4044
95959,Nevada City,Nevada,2276,2698,2961,3598,3987
95945,Grass Valley,Nevada,1643,1846,2075,2752,3350
92065,Ramona,San Diego,974,1243,1559,2052,2701
92028,Fallbrook,San Diego,446,615,976,1631,2560
92382,Running Springs,San Bernardino,1804,1997,2309,2482,2560
92549,Idyllwild,Riverside,1588,1917,2348,2487,2548
95966,Oroville,Butte,939,1078,1168,1840,2546
95602,Auburn,Placer,1255,1540,1662,2067,2499
95726,Pollock Pines,El Dorado,1801,2035,2159,2260,2458
91901,Alpine,San Diego,962,1206,1686,2140,2430
90011,Los Angeles,Los Angeles,2719,2597,2440,2408,2398
90265,Malibu,Los Angeles,1116,1457,1698,1935,2366
90210,Beverly Hills,Los Angeles,1269,1605,1923,2118,2221
92082,Valley Center,San Diego,329,450,956,1585,2207
92679,Trabuco Canyon,Orange,441,840,1078,1418,2186
95682,Shingle Springs,El Dorado,454,718,824,1361,2100
95666,Pioneer,Amador,1419,1665,1777,1972,2041
95321,Groveland,Tuolumne,1173,1407,1608,1876,2020
95383,Twain Harte,Tuolumne,1483,1653,1795,1958,1994
90046,Los Angeles,Los Angeles,1487,1656,1862,2006,1979
92570,Perris,Riverside,407,548,723,1077,1940
95954,Magalia,Butte,766,984,1109,1719,1939
91302,Calabasas,Los Angeles,595,763,878,1096,1922
