county,total_pif_2020,total_pif_2021,total_pif_2022,total_pif_2023,fair_plan_pif_2020,fair_plan_pif_2021,fair_plan_pif_2022,fair_plan_pif_2023,fair_plan_share_2020,fair_plan_share_2021,fair_plan_share_2022,fair_plan_share_2023
Alameda,358093,358750,353467,346677,2399,2621,2925,3380,0.7,0.7,0.8,1.0
Alpine,718,734,717,691,128,166,194,231,17.8,22.6,27.1,33.4
Amador,15227,15610,15336,14906,3179,3725,4002,4620,20.9,23.9,26.1,31.0
Butte,60480,59466,58929,57141,2893,3445,3999,6214,4.8,5.8,6.8,10.9
Calaveras,24274,24460,24107,23168,5433,6371,7177,8351,22.4,26.0,29.8,36.0
Colusa,4964,5069,5065,4963,10,14,29,36,0.2,0.3,0.6,0.7
Contra Costa,304574,306386,302681,297075,978,1169,1366,2154,0.3,0.4,0.5,0.7
Del Norte,7459,7632,7454,7163,72,131,155,221,1.0,1.7,2.1,3.1
El Dorado,74755,74729,74173,71606,12202,14374,15533,18167,16.3,19.2,20.9,25.4
Fresno,223562,226266,226063,222118,2684,2856,3238,3522,1.2,1.3,1.4,1.6
Glenn,6728,6776,6738,6642,15,18,25,29,0.2,0.3,0.4,0.4
Humboldt,40986,41130,41066,39830,837,993,1211,1525,2.0,2.4,2.9,3.8
Imperial,32671,33060,32918,31940,259,238,230,272,0.8,0.7,0.7,0.9
Inyo,6023,6104,6087,5957,37,43,52,105,0.6,0.7,0.9,1.8
Kern,222286,224788,224899,220909,3986,4391,4742,5580,1.8,2.0,2.1,2.5
Kings,30386,30667,30914,30645,27,26,53,56,0.1,0.1,0.2,0.2
Lake,25246,25211,24775,23256,1231,1715,2370,3364,4.9,6.8,9.6,14.5
Lassen,10786,10897,10685,10235,613,721,886,1270,5.7,6.6,8.3,12.4
Los Angeles,1819800,1824800,1809882,1774315,82619,81317,81255,85478,4.5,4.5,4.5,4.8
Madera,38508,39508,39825,39429,1995,2478,3314,3580,5.2,6.3,8.3,9.1
Marin,70739,70773,69933,68786,930,1119,1327,1662,1.3,1.6,1.9,2.4
Mariposa,6240,6381,6229,5868,1422,1841,2378,2471,22.8,28.9,38.2,42.1
Mendocino,26639,26871,26705,25841,1255,1557,1972,2727,4.7,5.8,7.4,10.6
Merced,62537,64362,64310,63525,60,60,59,96,0.1,0.1,0.1,0.2
Modoc,2619,2704,2606,2526,23,40,53,84,0.9,1.5,2.0,3.3
Mono,5194,5205,5098,4926,352,412,602,716,6.8,7.9,11.8,14.5
Monterey,88602,89126,88480,86993,1637,2087,2653,2988,1.8,2.3,3.0,3.4
Napa,39484,39661,39294,38434,614,853,1424,1663,1.6,2.2,3.6,4.3
Nevada,44600,44668,44493,42811,10367,11809,13696,16560,23.2,26.4,30.8,38.7
Orange,629578,627470,621717,613574,3495,4128,4599,6268,0.6,0.7,0.7,1.0
Placer,134261,136205,137522,136658,7586,9630,10619,12397,5.7,7.1,7.7,9.1
Plumas,9175,9397,9099,8670,1037,1224,1377,1877,11.3,13.0,15.1,21.6
Riverside,632531,638340,635420,622950,8138,10011,12422,18307,1.3,1.6,2.0,2.9
Sacramento,420096,423860,421645,415902,528,480,530,730,0.1,0.1,0.1,0.2
San Benito,16881,17610,17604,17451,88,121,152,203,0.5,0.7,0.9,1.2
San Bernardino,531675,536206,532464,518946,28632,32806,36922,40424,5.4,6.1,6.9,7.8
San Diego,693895,694019,688106,675662,10614,13142,16679,22320,1.5,1.9,2.4,3.3
San Francisco,128553,129090,127568,125195,344,337,318,380,0.3,0.3,0.2,0.3
San Joaquin,186559,190347,192193,191085,471,412,413,460,0.3,0.2,0.2,0.2
San Luis Obispo,90169,90931,90600,89757,708,924,1257,1842,0.8,1.0,1.4,2.1
San Mateo,167713,168036,165854,163360,513,659,898,1216,0.3,0.4,0.5,0.7
Santa Barbara,96256,96899,96254,94983,1547,2165,2704,3192,1.6,2.2,2.8,3.4
Santa Clara,396755,397644,391401,385490,1524,1751,2055,2578,0.4,0.4,0.5,0.7
Santa Cruz,72823,73096,72304,70678,1264,1823,2783,3879,1.7,2.5,3.8,5.5
Shasta,63409,63411,63340,60056,1764,2173,2628,4201,2.8,3.4,4.1,7.0
Sierra,1517,1517,1507,1445,232,269,314,370,15.3,17.7,20.8,25.6
Siskiyou,16494,16743,16408,15829,659,799,984,1380,4.0,4.8,6.0,8.7
Solano,123688,125723,124180,122492,150,145,177,345,0.1,0.1,0.1,0.3
Sonoma,146713,148884,148093,145473,1097,1491,2827,4038,0.7,1.0,1.9,2.8
Stanislaus,136997,138017,136494,134907,92,97,103,162,0.1,0.1,0.1,0.1
State,8802322,8852460,8787814,8625684,222091,246807,275131,324954,2.5,2.8,3.1,3.8
Sutter,24551,24690,24498,24039,14,20,17,21,0.1,0.1,0.1,0.1
Tehama,15896,15957,15782,15089,293,342,434,623,1.8,2.1,2.7,4.1
Trinity,4956,4880,4796,4481,789,887,888,1020,15.9,18.2,18.5,22.8
Tulare,106988,108545,109006,107494,1025,1233,1524,1824,1.0,1.1,1.4,1.7
Tuolumne,25258,25368,25001,24071,8447,9347,10056,11722,33.4,36.8,40.2,48.7
Ventura,201432,201826,200662,196559,1880,2743,3357,4550,0.9,1.4,1.7,2.3
Yolo,50462,51946,50986,50802,59,84,68,119,0.1,0.2,0.1,0.2
Yuba,21179,21869,22179,21876,836,962,1079,1326,3.9,4.4,4.9,6.1
