zip,county,fair_plan_flag,cdi_flag,agree,fhsz_high_pct,total_policies_2023,fair_policies_current,penetration_pct,meets_criteria
90001,Los Angeles,0,0,1,0.0,8077,1942,24.0,0
90002,Los Angeles,0,0,1,0.0,7450,1361,18.3,0
90003,Los Angeles,0,0,1,0.0,9493,2001,21.1,0
90004,Los Angeles,0,0,1,0.0,4570,419,9.2,0
90005,Los Angeles,0,0,1,0.0,962,140,14.6,0
90006,Los Angeles,0,0,1,0.0,2481,655,26.4,0
90007,Los Angeles,0,0,1,0.0,2462,445,18.1,0
90008,Los Angeles,0,0,1,48.8,5062,277,5.5,0
90011,Los Angeles,0,0,1,0.0,11516,2861,24.8,0
90012,Los Angeles,0,0,1,33.6,820,111,13.5,0
90013,Los Angeles,0,0,1,0.0,116,11,9.5,0
90014,Los Angeles,0,0,1,0.0,54,6,11.1,0
90015,Los Angeles,0,0,1,0.0,476,100,21.0,0
90016,Los Angeles,0,0,1,1.1,7497,681,9.1,0
90017,Los Angeles,0,0,1,0.0,153,21,13.7,0
90018,Los Angeles,0,0,1,0.0,7028,1089,15.5,0
90019,Los Angeles,0,0,1,0.0,8320,824,9.9,0
90020,Los Angeles,0,0,1,0.0,745,66,8.9,0
90021,Los Angeles,0,0,1,0.0,61,16,26.2,0
90022,Los Angeles,0,0,1,0.0,10359,1385,13.4,0
90023,Los Angeles,0,0,1,0.0,5729,1198,20.9,0
90024,Los Angeles,0,0,1,0.0,3045,153,5.0,0
90025,Los Angeles,0,0,1,0.0,3006,86,2.9,0
90026,Los Angeles,0,0,1,41.9,9342,926,9.9,0
90027,Los Angeles,0,0,1,76.6,5545,507,9.1,0
90028,Los Angeles,0,0,1,0.7,753,62,8.2,0
90029,Los Angeles,0,0,1,0.0,2468,291,11.8,0
90031,Los Angeles,0,0,1,41.6,5492,902,16.4,1
90032,Los Angeles,0,0,1,53.0,8169,761,9.3,0
90033,Los Angeles,0,0,1,0.0,4359,751,17.2,0
90034,Los Angeles,0,0,1,0.0,5262,134,2.5,0
90035,Los Angeles,0,0,1,0.0,4279,140,3.3,0
90036,Los Angeles,0,0,1,0.0,3606,167,4.6,0
90037,Los Angeles,0,0,1,0.0,7195,1622,22.5,0
90038,Los Angeles,0,0,1,0.0,1577,151,9.6,0
90039,Los Angeles,0,0,1,40.5,7550,438,5.8,0
90040,Los Angeles,0,0,1,0.0,2216,197,8.9,0
90041,Los Angeles,0,0,1,56.8,6307,412,6.5,0
90042,Los Angeles,0,0,1,59.0,10760,1104,10.3,0
90043,Los Angeles,0,0,1,2.2,10593,827,7.8,0
90044,Los Angeles,0,0,1,0.0,13694,2244,16.4,0
90045,Los Angeles,0,0,1,0.9,9222,70,0.8,0
90046,Los Angeles,1,1,1,70.0,6464,2310,35.7,1
90047,Los Angeles,0,0,1,0.0,12344,1129,9.1,0
90048,Los Angeles,0,0,1,0.0,3647,159,4.4,0
90049,Los Angeles,0,0,1,82.0,7394,2163,29.3,1
90056,Los Angeles,0,0,1,21.1,2360,49,2.1,0
90057,Los Angeles,0,0,1,0.0,485,72,14.8,0
90058,Los Angeles,0,0,1,0.0,164,53,32.3,0
90059,Los Angeles,0,0,1,0.0,6373,825,12.9,0
90061,Los Angeles,0,0,1,0.0,4219,523,12.4,0
90062,Los Angeles,0,0,1,0.0,5973,994,16.6,0
90063,Los Angeles,1,1,1,0.0,8405,1530,18.2,0
90064,Los Angeles,0,0,1,0.0,6491,81,1.2,0
90065,Los Angeles,0,0,1,63.6,10045,1053,10.5,0
90066,Los Angeles,0,0,1,0.0,10660,121,1.1,0
90067,Los Angeles,0,0,1,0.0,151,17,11.3,0
90068,Los Angeles,1,1,1,93.6,6012,1727,28.7,1
