coverage_end,policy_count,exposure,premium,source
2019-09-30,155243,,,fy_history
2020-09-30,204868,115311779134,,fy_history
2021-09-30,236515,155719573171,,fy_history
2022-09-30,265909,202103248060,,fy_history
2023-09-30,320572,270510184565,,fy_history
2023-12-31,339044,311640000000,,snapshot
2024-03-31,364694,340000000000,,snapshot
2024-06-30,408432,393000000000,,snapshot
2024-09-30,449833,431066598171,,fy_history
2024-12-31,516313,529000000000,1600000000,snapshot
2025-03-31,573739,599000000000,1740000000,snapshot
2025-06-30,587677,602699009130,1639654634,quarterly
2025-09-30,621234,645115692650,1709422795,quarterly
2025-12-31,639821,670676520819,1713579445,quarterly
2026-03-31,655204,691806787207,1788773322,quarterly
2026-06-30,665862,709443462973,1814466107,quarterly
